Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
2,Los Angeles Clippers,21-61,11.11%,1,3rd,1,Danny Ferry,Los Angeles Clippers,1989
3,San Antonio Spurs,21-61,11.11%,1,4th,1,Sean Elliott,San Antonio Spurs,1989
4,Miami Heat,15-67,11.11%,1,1st,-3,Glen Rice,Miami Heat,1989
5,Charlotte Hornets,60-62,11.11%,1,2nd,-3,J.R. Reid,Charlotte Hornets,1989
6,Chicago Bulls,47-35,11.11%,1,5th,-1,Stacey King,Chicago Bulls,1989
7,Indiana Pacers,28-54,11.11%,1,7th,0,George McCloud,Indiana Pacers,1989
8,Dallas Mavericks,38-44,11.11%,1,8th,0,Randy White,Dallas Mavericks,1989
9,Washington Bullets,40-42,11.11%,1,9th,0,Tom Hammonds,Washington Bullets,1989
1,New Jersey Nets,17-65,16.67%,11,1st,0,Derrick Coleman,New Jersey Nets,1990
2,Seattle SuperSonics,41-41,3.03%,2,10th,8,Gary Payton,Seattle SuperSonics,1990
3,Miami Heat,18-64,15.15%,10,2nd,-1,Mahmoud Abdul-Rauf,Denver Nuggets,1990
4,Orlando Magic,18-64,13.64%,9,3rd,-1,Dennis Scott,Orlando Magic,1990
5,Charlotte Hornets,19-63,12.12%,8,4th,-1,Kendall Gill,Charlotte Hornets,1990
6,Minnesota Timberwolves,22-60,10.61%,7,5th,-1,Felton Spencer,Minnesota Timberwolves,1990
7,Sacramento Kings,23-59,9.09%,6,6th,-1,Lionel Simmons,Sacramento Kings,1990
8,Los Angeles Clippers,30-52,7.58%,5,7th,-1,Bo Kimble,Los Angeles Clippers,1990
9,Dallas Mavericks,31-51,6.06%,4,8th,-1,Willie Burton,Miami Heat,1990
10,Golden State Warriors,37-45,4.55%,3,9th,-1,Rumeal Robinson,Atlanta Hawks,1990
11,Atlanta Hawks,41-41,1.52%,1,11th,0,Tyrone Hill,Golden State Warriors,1990
1,Charlotte Hornets,26-56,10.61%,7,5th,4,Larry Johnson,Charlotte Hornets,1991
2,New Jersey Nets,26-56,12.12%,8,4th,2,Kenny Anderson,New Jersey Nets,1991
3,Sacramento Kings,25-57,13.64%,9,3rd,0,Billy Owens,Sacramento Kings,1991
4,Denver Nuggets,20-62,16.67%,11,1st,-3,Dikembe Mutombo,Denver Nuggets,1991
5,Miami Heat,24-58,15.15%,10,2nd,-3,Steve Smith,Miami Heat,1991
6,Dallas Mavericks,28-54,9.09%,6,6th,0,Doug Smith,Dallas Mavericks,1991
7,Minnesota Timberwolves,29-53,7.58%,5,7th,0,Luc Longley,Minnesota Timberwolves,1991
8,Washington Bullets,30-52,6.06%,4,8th,0,Mark Macon,Denver Nuggets,1991
9,Los Angeles Clippers,31-51,4.55%,3,9th,0,Stacey Augmon,Atlanta Hawks,1991
10,Orlando Magic,31-51,3.03%,2,10th,0,Bison Dele,Orlando Magic,1991
11,Cleveland Cavaliers,33-49,1.52%,1,11th,0,Terrell Brandon,Cleveland Cavaliers,1991
1,Orlando Magic,21-61,15.15%,10,2nd,1,Shaquille O'Neal,Orlando Magic,1992
2,Charlotte Hornets,31-51,6.06%,4,8th,6,Alonzo Mourning,Charlotte Hornets,1992
3,Minnesota Timberwolves,15-67,16.67%,11,1st,-2,Christian Laettner,Minnesota Timberwolves,1992
4,Dallas Mavericks,22-60,13.64%,9,3rd,-1,Jim Jackson,Dallas Mavericks,1992
5,Denver Nuggets,24-58,12.12%,8,4th,-1,LaPhonso Ellis,Denver Nuggets,1992
6,Washington Bullets,25-57,10.61%,7,5th,-1,Tom Gugliotta,Washington Bullets,1992
7,Sacramento Kings,29-53,9.09%,6,6th,-1,Walt Williams,Sacramento Kings,1992
8,Milwaukee Bucks,31-51,7.58%,5,7th,-1,Todd Day,Milwaukee Bucks,1992
9,Philadelphia Sixers,35-47,4.55%,3,9th,0,Clarence Weatherspoon,Philadelphia Sixers,1992
10,Atlanta Hawks,38-44,3.03%,2,10th,0,Adam Keefe,Atlanta Hawks,1992
11,Orlando Magic,42-40,1.52%,1,11th,0,Robert Horry,Houston Rockets,1992
1,Orlando Magic,41-41,1.52%,1,11th,10,Chris Webber,Orlando Magic,1993
2,Philadelphia Sixers,26-56,10.61%,7,5th,3,Shawn Bradley,Philadelphia Sixers,1993
3,Golden State Warriors,34-48,7.58%,5,7th,4,Penny Hardaway,Golden State Warriors,1993
4,Dallas Mavericks,11-71,16.67%,11,1st,-3,Jamal Mashburn,Dallas Mavericks,1993
5,Minnesota Timberwolves,19-63,15.15%,10,2nd,-3,J.R. Rider,Minnesota Timberwolves,1993
6,Washington Bullets,22-60,13.64%,9,3rd,-3,Calbert Cheaney,Washington Bullets,1993
7,Sacramento Kings,25-57,12.12%,8,4th,-3,Bobby Hurley,Sacramento Kings,1993
8,Milwaukee Bucks,28-54,9.09%,6,6th,-2,Vin Baker,Milwaukee Bucks,1993
9,Denver Nuggets,36-46,6.06%,4,8th,-1,Rodney Rogers,Denver Nuggets,1993
10,Miami Heat,36-46,4.55%,3,9th,-1,Lindsey Hunter,Detroit Pistons,1993
11,Detroit Pistons,40-42,3.03%,2,10th,-1,Allan Houston,Detroit Pistons,1993
1,Milwaukee Bucks,20-62,16.30%,163,4th,3,Glenn Robinson,Milwaukee Bucks,1994
2,Dallas Mavericks,13-69,25.00%,250,1st,-1,Jason Kidd,Dallas Mavericks,1994
3,Detroit Pistons,20-62,16.40%,164,2nd,-1,Grant Hill,Detroit Pistons,1994
4,Minnesota Timberwolves,20-62,16.40%,164,3rd,-1,Donyell Marshall,Minnesota Timberwolves,1994
5,Washington Bullets,24-58,9.40%,94,5th,0,Juwan Howard,Washington Bullets,1994
6,Philadelphia Sixers,25-57,6.60%,66,6th,0,Sharone Wright,Philadelphia Sixers,1994
7,Los Angeles Clippers,27-55,4.40%,44,7th,0,Lamond Murray,Los Angeles Clippers,1994
8,Sacramento Kings,28-54,2.70%,27,8th,0,Brian Grant,Sacramento Kings,1994
9,Boston Celtics,32-50,1.50%,15,9th,0,Eric Montross,Boston Celtics,1994
10,Los Angeles Lakers,33-49,0.80%,8,10th,0,Eddie Jones,Los Angeles Lakers,1994
11,Charlotte Hornets,41-41,0.50%,5,11th,0,Carlos Rogers,Seattle SuperSonics,1994
1,Golden State Warriors,26-56,9.40%,94,5th,4,Joe Smith,Golden State Warriors,1995
2,Los Angeles Clippers,17-65,25.00%,250,1st,-1,Antonio McDyess,Los Angeles Clippers,1995
3,Philadelphia Sixers,24-58,12.60%,126,4th,1,Jerry Stackhouse,Philadelphia Sixers,1995
4,Washington Bullets,21-61,18.30%,183,2nd,-2,Rasheed Wallace,Washington Bullets,1995
5,Minnesota Timberwolves,21-61,18.20%,182,3rd,-2,Kevin Garnett,Minnesota Timberwolves,1995
6,Vancouver Grizzlies,0-0,0.00%,0,6th,0,Bryant Reeves,Vancouver Grizzlies,1995
7,Toronto Raptors,0-0,0.00%,0,7th,0,Damon Stoudamire,Toronto Raptors,1995
8,Detroit Pistons,28-54,6.60%,66,8th,0,Shawn Respert,Portland Trail Blazers,1995
9,New Jersey Nets,30-52,4.40%,44,9th,0,Ed O'Bannon,New Jersey Nets,1995
10,Miami Heat,32-50,2.70%,27,10th,0,Kurt Thomas,Miami Heat,1995
11,Milwaukee Bucks,34-48,1.50%,15,11th,0,Gary Trent,Milwaukee Bucks,1995
12,Dallas Mavericks,36-46,0.80%,8,12th,0,Cherokee Parks,Dallas Mavericks,1995
13,Sacramento Kings,39-43,0.50%,5,13th,0,Corliss Williamson,Sacramento Kings,1995
1,Philadelphia Sixers,18-64,33.73%,200,2nd,1,Allen Iverson,Philadelphia Sixers,1996
2,Toronto Raptors,21-61,0.00%,157,3rd,1,Marcus Camby,Toronto Raptors,1996
3,Vancouver Grizzlies,15-67,0.00%,250,1st,-2,Shareef Abdur-Rahim,Vancouver Grizzlies,1996
4,Milwaukee Bucks,25-57,20.24%,120,4th,0,Stephon Marbury,Milwaukee Bucks,1996
5,Minnesota Timberwolves,26-56,12.98%,77,5th,0,Ray Allen,Minnesota Timberwolves,1996
6,Dallas Mavericks,26-56,12.82%,76,6th,0,Antoine Walker,Boston Celtics,1996
7,Los Angeles Clippers,29-53,7.42%,44,7th,0,Lorenzen Wright,Los Angeles Clippers,1996
8,New Jersey Nets,30-52,4.89%,29,8th,0,Kerry Kittles,New Jersey Nets,1996
9,Dallas Mavericks,26-56,3.04%,18,9th,0,Samaki Walker,Dallas Mavericks,1996
10,Denver Nuggets,35-47,1.85%,11,10th,0,Erick Dampier,Indiana Pacers,1996
11,Golden State Warriors,36-46,1.18%,7,11th,0,Todd Fuller,Golden State Warriors,1996
12,Cleveland Cavaliers,47-35,1.01%,6,12th,0,Vitaly Potapenko,Cleveland Cavaliers,1996
13,Charlotte Hornets,41-41,0.84%,5,13th,0,Kobe Bryant,Charlotte Hornets,1996
1,San Antonio Spurs,20-62,21.60%,157,3rd,2,Tim Duncan,San Antonio Spurs,1997
2,Philadelphia Sixers,22-60,12.24%,89,5th,3,Keith Van Horn,Philadelphia Sixers,1997
3,Boston Celtics,15-67,27.51%,200,2nd,-1,Chauncey Billups,Boston Celtics,1997
4,Vancouver Grizzlies,14-68,0.00%,250,1st,-3,Antonio Daniels,Vancouver Grizzlies,1997
5,Denver Nuggets,21-61,16.51%,120,4th,-1,Tony Battie,Denver Nuggets,1997
6,Boston Celtics,15-67,8.80%,64,6th,0,Ron Mercer,Boston Celtics,1997
7,New Jersey Nets,26-56,6.05%,44,7th,0,Tim Thomas,New Jersey Nets,1997
8,Golden State Warriors,30-52,3.30%,24,8th,0,Adonal Foyle,Golden State Warriors,1997
9,Toronto Raptors,30-52,0.00%,23,9th,0,Tracy McGrady,Toronto Raptors,1997
10,Milwaukee Bucks,33-49,1.51%,11,10th,0,Danny Fortson,Milwaukee Bucks,1997
11,Sacramento Kings,34-48,0.96%,7,11th,0,Tariq Abdul-Wahad,Sacramento Kings,1997
12,Indiana Pacers,39-43,0.83%,6,12th,0,Austin Croshere,Indiana Pacers,1997
13,Cleveland Cavaliers,42-40,0.69%,5,13th,0,Derek Anderson,Cleveland Cavaliers,1997
1,Los Angeles Clippers,17-65,22.56%,157,3rd,2,Michael Olowokandi,Los Angeles Clippers,1998
2,Vancouver Grizzlies,19-63,0.00%,104,5th,3,Mike Bibby,Vancouver Grizzlies,1998
3,Denver Nuggets,11-71,35.92%,250,1st,-2,Raef LaFrentz,Denver Nuggets,1998
4,Toronto Raptors,16-66,0.00%,200,2nd,-2,Antawn Jamison,Toronto Raptors,1998
5,Golden State Warriors,19-63,15.09%,105,4th,-1,Vince Carter,Golden State Warriors,1998
6,Dallas Mavericks,20-62,9.20%,64,6th,0,Robert Traylor,Dallas Mavericks,1998
7,Sacramento Kings,27-55,6.32%,44,7th,0,Jason Williams,Sacramento Kings,1998
8,Philadelphia Sixers,31-51,4.17%,29,8th,0,Larry Hughes,Philadelphia Sixers,1998
9,Milwaukee Bucks,36-46,2.16%,15,9th,0,Dirk Nowitzki,Milwaukee Bucks,1998
10,Boston Celtics,36-46,2.01%,14,10th,0,Paul Pierce,Boston Celtics,1998
11,Detroit Pistons,37-45,1.01%,7,11th,0,Bonzi Wells,Detroit Pistons,1998
12,Orlando Magic,41-41,0.86%,6,12th,0,Michael Doleac,Orlando Magic,1998
13,Washington Wizards,42-40,0.72%,5,13th,0,Keon Clark,Orlando Magic,1998
1,Chicago Bulls,13-37,15.70%,157,3rd,2,Elton Brand,Chicago Bulls,1999
2,Vancouver Grizzlies,8-42,25.00%,250,1st,-1,Steve Francis,Vancouver Grizzlies,1999
3,Charlotte Hornets,26-24,0.50%,5,13th,10,Baron Davis,Charlotte Hornets,1999
4,Los Angeles Clippers,9-41,20.00%,200,2nd,-2,Lamar Odom,Los Angeles Clippers,1999
5,Toronto Raptors,14-36,12.00%,120,4th,-1,Jonathan Bender,Toronto Raptors,1999
6,Minnesota Timberwolves,16-34,8.90%,89,5th,-1,Wally Szczerbiak,Minnesota Timberwolves,1999
7,Washington Wizards,18-32,6.40%,64,6th,-1,Richard Hamilton,Washington Wizards,1999
8,Boston Celtics,19-31,3.70%,37,7th,-1,Andre Miller,Cleveland Cavaliers,1999
9,Phoenix Suns,19-31,3.60%,36,8th,-1,Shawn Marion,Phoenix Suns,1999
10,Golden State Warriors,21-29,1.80%,18,9th,-1,Jason Terry,Atlanta Hawks,1999
11,Cleveland Cavaliers,22-28,1.10%,11,10th,-1,Trajan Langdon,Cleveland Cavaliers,1999
12,Toronto Raptors,23-27,0.70%,7,11th,-1,Alek Radojevic,Toronto Raptors,1999
13,Seattle SuperSonics,25-25,0.60%,6,12th,-1,Corey Maggette,Seattle SuperSonics,1999
1,New Jersey Nets,31-52,4.40%,44,7th,6,Kenyon Martin,New Jersey Nets,2000
2,Vancouver Grizzlies,22-60,12.00%,120,4th,2,Stromile Swift,Vancouver Grizzlies,2000
3,Los Angeles Clippers,15-67,25.00%,250,1st,-2,Darius Miles,Los Angeles Clippers,2000
4,Chicago Bulls,17-65,20.00%,200,2nd,-2,Marcus Fizer,Chicago Bulls,2000
5,Orlando Magic,41-41,15.70%,157,3rd,-2,Mike Miller,Orlando Magic,2000
6,Atlanta Hawks,28-54,8.90%,89,5th,-1,DerMarr Johnson,Atlanta Hawks,2000
7,Washington Wizards,29-53,6.40%,64,6th,-1,Chris Mihm,Chicago Bulls,2000
8,Cleveland Cavaliers,32-50,2.90%,29,8th,0,Jamal Crawford,Cleveland Cavaliers,2000
9,Houston Rockets,34-48,1.80%,18,9th,0,Joel Przybilla,Houston Rockets,2000
10,Orlando Magic,41-41,0.90%,9,10th,0,Keyon Dooling,Orlando Magic,2000
11,Boston Celtics,35-47,0.90%,9,11th,0,Jerome Moiso,Boston Celtics,2000
12,Dallas Mavericks,40-42,0.60%,6,12th,0,Etan Thomas,Dallas Mavericks,2000
13,Orlando Magic,41-41,0.50%,5,13th,0,Courtney Alexander,Orlando Magic,2000
1,Washington Wizards,19-63,15.70%,157,3rd,2,Kwame Brown,Washington Wizards,2001
2,Los Angeles Clippers,31-51,2.90%,29,8th,6,Tyson Chandler,Los Angeles Clippers,2001
3,Atlanta Hawks,25-57,8.90%,89,5th,2,Pau Gasol,Atlanta Hawks,2001
4,Chicago Bulls,15-67,25.00%,250,1st,-3,Eddy Curry,Chicago Bulls,2001
5,Golden State Warriors,17-65,20.00%,200,2nd,-3,Jason Richardson,Golden State Warriors,2001
6,Vancouver Grizzlies,23-59,12.00%,120,4th,-2,Shane Battier,Vancouver Grizzlies,2001
7,New Jersey Nets,26-56,6.40%,64,6th,-1,Eddie Griffin,New Jersey Nets,2001
8,Cleveland Cavaliers,30-52,4.40%,44,7th,-1,DeSagana Diop,Cleveland Cavaliers,2001
9,Detroit Pistons,32-50,1.80%,18,9th,0,Rodney White,Detroit Pistons,2001
10,Boston Celtics,36-46,1.10%,11,10th,0,Joe Johnson,Boston Celtics,2001
11,Denver Nuggets,40-42,0.70%,7,11th,0,Kedrick Brown,Boston Celtics,2001
12,Seattle SuperSonics,44-38,0.60%,6,12th,0,Vladimir Radmanovic,Seattle SuperSonics,2001
13,Houston Rockets,45-37,0.50%,5,13th,0,Richard Jefferson,Houston Rockets,2001
1,Houston Rockets,28-54,8.90%,89,5th,4,Yao Ming,Houston Rockets,2002
2,Chicago Bulls,21-61,22.50%,225,2nd,0,Jay Williams,Chicago Bulls,2002
3,Golden State Warriors,21-61,22.50%,225,1st,-2,Mike Dunleavy,Golden State Warriors,2002
4,Memphis Grizzlies,23-59,15.70%,157,3rd,-1,Drew Gooden,Memphis Grizzlies,2002
5,Denver Nuggets,27-55,12.00%,120,4th,-1,Nikoloz Tskitishvili,Denver Nuggets,2002
6,Cleveland Cavaliers,29-53,6.40%,64,6th,0,Dajuan Wagner,Cleveland Cavaliers,2002
7,New York Knicks,30-52,4.40%,44,7th,0,Nene Hilario,New York Knicks,2002
8,Atlanta Hawks,33-49,2.90%,29,8th,0,Chris Wilcox,Los Angeles Clippers,2002
9,Phoenix Suns,36-46,1.50%,15,9th,0,Amar'e Stoudemire,Phoenix Suns,2002
10,Miami Heat,36-46,1.40%,14,10th,0,Caron Butler,Miami Heat,2002
11,Washington Wizards,37-45,0.70%,7,11th,0,Jared Jeffries,Washington Wizards,2002
12,Los Angeles Clippers,39-43,0.60%,6,12th,0,Melvin Ely,Los Angeles Clippers,2002
13,Milwaukee Bucks,41-41,0.50%,5,13th,0,Marcus Haislip,Milwaukee Bucks,2002
1,Cleveland Cavaliers,17-65,22.50%,225,1st,0,LeBron James,Cleveland Cavaliers,2003
2,Memphis Grizzlies,28-54,6.40%,64,6th,4,Darko Milicic,Detroit Pistons,2003
3,Denver Nuggets,17-65,22.50%,225,2nd,-1,Carmelo Anthony,Denver Nuggets,2003
4,Toronto Raptors,24-58,15.70%,157,3rd,-1,Chris Bosh,Toronto Raptors,2003
5,Miami Heat,25-57,12.00%,120,4th,-1,Dwyane Wade,Miami Heat,2003
6,Los Angeles Clippers,28-54,8.90%,89,5th,-1,Chris Kaman,Los Angeles Clippers,2003
7,Chicago Bulls,30-52,4.40%,44,7th,0,Kirk Hinrich,Chicago Bulls,2003
8,Atlanta Hawks,35-47,2.90%,29,8th,0,T.J. Ford,Milwaukee Bucks,2003
9,New York Knicks,37-45,1.50%,15,9th,0,Mike Sweetney,New York Knicks,2003
10,Washington Wizards,37-45,1.40%,14,10th,0,Jarvis Hayes,Washington Wizards,2003
11,Golden State Warriors,38-44,0.70%,7,11th,0,Mickael Pietrus,Golden State Warriors,2003
12,Seattle SuperSonics,40-42,0.60%,6,12th,0,Nick Collison,Seattle SuperSonics,2003
13,Houston Rockets,43-39,0.50%,5,13th,0,Marcus Banks,Memphis Grizzlies,2003
1,Orlando Magic,21-61,25.00%,250,1st,0,Dwight Howard,Orlando Magic,2004
2,Los Angeles Clippers,28-54,10.50%,105,5th,3,Emeka Okafor,Charlotte Bobcats,2004
3,Chicago Bulls,23-59,20.00%,200,2nd,-1,Ben Gordon,Chicago Bulls,2004
4,Charlotte Bobcats,0-0,0.00%,0,4th,0,Shaun Livingston,Los Angeles Clippers,2004
5,Washington Wizards,25-57,15.70%,157,3rd,-2,Devin Harris,Washington Wizards,2004
6,Atlanta Hawks,28-54,10.40%,104,6th,0,Josh Childress,Atlanta Hawks,2004
7,Phoenix Suns,29-53,6.40%,64,7th,0,Luol Deng,Phoenix Suns,2004
8,Toronto Raptors,33-49,3.70%,37,8th,0,Babby Araujo,Toronto Raptors,2004
9,Philadelphia Sixers,33-49,3.60%,36,9th,0,Andre Iguodala,Philadelphia Sixers,2004
10,Cleveland Cavaliers,35-47,1.80%,18,10th,0,Luke Jackson,Cleveland Cavaliers,2004
11,Golden State Warriors,37-45,0.90%,9,11th,0,Andris Biedrins,Golden State Warriors,2004
12,Seattle SuperSonics,37-45,0.90%,9,12th,0,Robert Swift,Seattle SuperSonics,2004
13,Portland Trail Blazers,41-41,0.60%,6,13th,0,Sebastian Telfair,Portland Trail Blazers,2004
14,Utah Jazz,42-40,0.50%,5,14th,0,Kris Humphries,Utah Jazz,2004
1,Milwaukee Bucks,30-52,6.30%,63,6th,5,Andrew Bogut,Milwaukee Bucks,2005
2,Atlanta Hawks,13-69,25.00%,250,1st,-1,Marvin Williams,Atlanta Hawks,2005
3,Portland Trail Blazers,26-56,11.90%,119,4th,1,Deron Williams,Utah Jazz,2005
4,New Orleans Hornets,18-64,17.80%,178,2nd,-2,Chris Paul,New Orleans Hornets,2005
5,Charlotte Bobcats,18-64,17.70%,177,3rd,-2,Raymond Felton,Charlotte Bobcats,2005
6,Utah Jazz,27-55,8.80%,88,5th,-1,Martell Webster,Portland Trail Blazers,2005
7,Toronto Raptors,33-49,3.60%,36,7th,0,Charlie Villanueva,Toronto Raptors,2005
8,New York Knicks,33-49,3.50%,35,8th,0,Channing Frye,New York Knicks,2005
9,Golden State Warriors,34-48,1.40%,14,9th,0,Ike Diogu,Golden State Warriors,2005
10,Los Angeles Lakers,34-48,1.40%,14,10th,0,Andrew Bynum,Los Angeles Lakers,2005
11,Orlando Magic,36-46,0.80%,8,11th,0,Fran Vazquez,Orlando Magic,2005
12,Los Angeles Clippers,37-45,0.70%,7,12th,0,Yaroslav Korolev,Los Angeles Clippers,2005
13,Cleveland Cavaliers,42-40,0.60%,6,13th,0,Sean May,Charlotte Bobcats,2005
14,Minnesota Timberwolves,44-38,0.50%,5,14th,0,Rashad McCants,Minnesota Timberwolves,2005
1,Toronto Raptors,27-55,8.80%,88,5th,4,Andrea Bargnani,Toronto Raptors,2006
2,New York Knicks,23-59,19.90%,199,2nd,0,LaMarcus Aldridge,Chicago Bulls,2006
3,Charlotte Bobcats,26-56,13.80%,138,3rd,0,Adam Morrison,Charlotte Bobcats,2006
4,Portland Trail Blazers,21-61,25.00%,250,1st,-3,Tyrus Thomas,Portland Trail Blazers,2006
5,Atlanta Hawks,26-56,13.70%,137,4th,-1,Shelden Williams,Atlanta Hawks,2006
6,Minnesota Timberwolves,33-49,5.30%,53,6th,0,Brandon Roy,Minnesota Timberwolves,2006
7,Boston Celtics,33-49,5.30%,53,7th,0,Randy Foye,Boston Celtics,2006
8,Houston Rockets,34-48,2.30%,23,8th,0,Rudy Gay,Houston Rockets,2006
9,Golden State Warriors,34-48,2.20%,22,9th,0,Patrick O'Bryant,Golden State Warriors,2006
10,Seattle SuperSonics,35-57,1.10%,11,10th,0,Saer Sene,Seattle SuperSonics,2006
11,Orlando Magic,36-46,0.80%,8,11th,0,J.J. Redick,Orlando Magic,2006
12,New Orleans Hornets,38-44,0.70%,7,12th,0,Hilton Armstrong,New Orleans Hornets,2006
13,Philadelphia Sixers,38-44,0.60%,6,13th,0,Thabo Sefolosha,Philadelphia Sixers,2006
14,Utah Jazz,41-41,0.50%,5,14th,0,Ronnie Brewer,Utah Jazz,2006
1,Portland Trail Blazers,32-50,5.30%,53,7th,6,Greg Oden,Portland Trail Blazers,2007
2,Seattle SuperSonics,31-51,8.80%,88,5th,3,Kevin Durant,Seattle SuperSonics,2007
3,Atlanta Hawks,30-52,11.90%,119,4th,1,Al Horford,Atlanta Hawks,2007
4,Memphis Grizzlies,22-60,25.00%,250,1st,-3,Mike Conley,Memphis Grizzlies,2007
5,Boston Celtics,24-58,19.90%,199,2nd,-3,Jeff Green,Boston Celtics,2007
6,Milwaukee Bucks,28-54,15.60%,156,3rd,-3,Jianlian Yi,Milwaukee Bucks,2007
7,Minnesota Timberwolves,32-50,5.30%,53,6th,-1,Corey Brewer,Minnesota Timberwolves,2007
8,Charlotte Bobcats,33-49,1.90%,19,8th,0,Brandan Wright,Charlotte Bobcats,2007
9,New York Knicks,33-49,1.90%,19,9th,0,Joakim Noah,Chicago Bulls,2007
10,Sacramento Kings,33-49,1.80%,18,10th,0,Spencer Hawes,Sacramento Kings,2007
11,Indiana Pacers,35-47,0.80%,8,11th,0,Acie Law,Atlanta Hawks,2007
12,Philadelphia Sixers,35-47,0.70%,7,12th,0,Thaddeus Young,Philadelphia Sixers,2007
13,New Orleans Hornets,39-43,0.60%,6,13th,0,Julian Wright,New Orleans Hornets,2007
14,Los Angeles Clippers,40-42,0.50%,5,14th,0,Al Thornton,Los Angeles Clippers,2007
1,Chicago Bulls,33-49,1.70%,17,9th,8,Derrick Rose,Chicago Bulls,2008
2,Miami Heat,15-67,25.00%,250,1st,-1,Michael Beasley,Miami Heat,2008
3,Minnesota Timberwolves,22-60,13.80%,138,3rd,0,O.J. Mayo,Minnesota Timberwolves,2008
4,Seattle SuperSonics,20-62,19.90%,199,2nd,-2,Russell Westbrook,Seattle SuperSonics,2008
5,Memphis Grizzlies,22-60,13.70%,137,4th,-1,Kevin Love,Memphis Grizzlies,2008
6,New York Knicks,23-59,7.60%,76,5th,-1,Danilo Gallinari,New York Knicks,2008
7,Los Angeles Clippers,23-59,7.50%,75,6th,-1,Eric Gordon,Los Angeles Clippers,2008
8,Milwaukee Bucks,26-56,4.30%,43,7th,-1,Joe Alexander,Milwaukee Bucks,2008
9,Charlotte Bobcats,32-50,2.80%,28,8th,-1,D.J. Augustin,Charlotte Bobcats,2008
10,New Jersey Nets,34-48,1.10%,11,10th,0,Brook Lopez,New Jersey Nets,2008
11,Indiana Pacers,36-46,0.80%,8,11th,0,Jerryd Bayless,Indiana Pacers,2008
12,Sacramento Kings,38-44,0.70%,7,12th,0,Jason Thompson,Sacramento Kings,2008
13,Portland Trail Blazers,41-41,0.60%,6,13th,0,Brandon Rush,Portland Trail Blazers,2008
14,Golden State Warriors,48-34,0.50%,5,14th,0,Anthony Randolph,Golden State Warriors,2008
1,Los Angeles Clippers,19-63,17.70%,177,3rd,2,Blake Griffin,Los Angeles Clippers,2009
2,Memphis Grizzlies,24-58,7.50%,75,6th,4,Hasheem Thabeet,Memphis Grizzlies,2009
